Book Id,Title,Author,Author l-f,Additional Authors,My Rating,Average Rating,Number of Pages,Pages category,Year Published,Original Publication Year,Date Read,Month,Year,Date Added,Exclusive Shelf,Genre,Goal Met?,,
13489919,"The Duchess War (Brothers Sinister, #1)",Courtney Milan,"Milan, Courtney",Elisabeth Luc,4,3.82,270,251-300,2012,2012,1/4/2021,January,2021,1/3/2021,read,Historical Romance,0,,
55340435,The Case of the Missing Marquess (Enola Holmes #1),Nancy Springer,"Springer, Nancy",,4,3.8,236,201-250,2020,2006,1/17/2021,January,2021,1/4/2021,read,Mystery,0,,
606926,"The Case of the Left-Handed Lady (Enola Holmes, #2)",Nancy Springer,"Springer, Nancy",,3,4.02,234,201-250,2007,2007,1/21/2021,January,2021,10/16/2021,read,Mystery,0,,
50668767,"Tools of Engagement (Hot & Hammered, #3)",Tessa Bailey,"Bailey, Tessa",,3,3.75,384,351-400,2020,2020,2/3/2021,February,2021,2/2/2021,read,Romance,0,,
27883214,"Caraval (Caraval, #1)",Stephanie Garber,"Garber, Stephanie",,5,3.97,407,401-450,2017,2017,2/16/2021,February,2021,6/13/2021,read,Fantasy,0,,
25625054,The Scam (Fox and O'Hare #4),Janet Evanovich,"Evanovich, Janet",Lee Goldberg,5,4.05,305,301-350,2015,2015,4/1/2021,April,2021,3/31/2021,read,Mystery,0,,
40858227,Humans: A Brief History of How We F*cked It All Up,Tom     Phillips,"Phillips, Tom",,5,4.02,272,251-300,2018,2018,5/19/2021,May,2021,10/16/2021,read,Nonfiction,0,,
36862428,Ella Enchanted,Gail Carson Levine,"Levine, Gail Carson",,5,3.98,246,201-250,2012,1997,5/28/2021,May,2021,5/25/2021,read,Fantasy,0,,
18798983,"The Wrath and the Dawn (The Wrath and the Dawn, #1)",Renee Ahdieh,"Ahdieh, Renee",,5,4.07,404,401-450,2015,2015,5/29/2021,May,2021,6/13/2021,read,Fantasy,0,,
48509205,Catherine House,Elisabeth    Thomas,"Thomas, Elisabeth",,4,3.12,318,301-350,2020,2020,5/31/2021,May,2021,5/29/2021,read,Fiction,0,,
16069030,"The Winner's Curse (The Winner's Trilogy, #1)",Marie Rutkoski,"Rutkoski, Marie",,5,3.94,355,351-400,2014,2014,7/29/2021,July,2021,6/13/2021,read,Fantasy,0,,
20443207,"The Winner's Crime (The Winner's Trilogy, #2)",Marie Rutkoski,"Rutkoski, Marie",,5,4.08,416,401-450,2015,2015,8/5/2021,August,2021,8/5/2021,read,Fantasy,0,,
20443235,"The Winner's Kiss (The Winner's Trilogy, #3)",Marie Rutkoski,"Rutkoski, Marie",,5,4.23,486,451-500,2016,2016,8/5/2021,August,2021,8/5/2021,read,Fantasy,0,,
331830,Keturah and Lord Death,Martine Leavitt,"Leavitt, Martine",,5,3.89,216,201-250,2006,2006,8/15/2021,August,2021,6/13/2021,read,Fantasy,0,,
16299,And Then There Were None,Agatha Christie,"Christie, Agatha",,5,4.26,264,251-300,2004,1939,9/15/2021,September,2021,6/13/2021,read,Mystery,0,,
44018869,"The Way of the Househusband, Vol. 1",Kousuke Oono,"Oono, Kousuke",Sheldon Drzka,5,4.31,160,151-200,2019,2018,11/5/2021,November,2021,11/5/2021,read,Graphic novel,0,,
55474178,Gokushufudo: The Way of House Husband 2,Kousuke Oono,"Oono, Kousuke",Anindhita Raghia,5,4.36,168,151-200,2020,2018,11/6/2021,November,2021,11/6/2021,read,Graphic novel,0,,
